,﻿Status,Opp Type,Opp ID,Program Name,Acronym,Organization Level 1,Organization Level 2,Solicitation Number,Value (USD-$K),Summary,Contract Value,NAICS,Classification Code (SAM),Solicitation Date,Solicitation Date (Actual/Estimate),Projected Award Date,Response Date
224,Awarded,Tracked Opportunities,129117,SECURE RESEARCH WEBBASED TRAINING AND PROGRAM SERVICES FOR THE MEMPHIS TN VA MEDICAL CENTER,,VETERANS AFFAIRS,VETERANS HEALTH ADMINISTRATION,VA24915N0790,139,"Research Dataware, LLC is currently fulfilling the Department of Veterans Affairs, VHA Medical Centers requirement for a contractor to provide secure web-based research system for reviewing and managing research subjects at the Memphis, Tennessee VA Medical Center.",139,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,09/2015,(Deltek Estimate),10/01/2015,
225,Awarded,Tracked Opportunities,129885,DATA CENTER INFRASTRUCTURE MANAGEMENT (DCIM),DCIM,NAVY,NAVAL AIR SYSTEMS COMMAND,N6833516RFI0013,TBD,"A Vendor is fulfilling The Department of the Navy, Naval Air Systems Command, Naval Air Warfare Center Aircraft Division Lakehurst's requirement for Data Center Infrastructure Management (DCIM).",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,03/2016,(Deltek Estimate),05/2016,
226,Awarded,Tracked Opportunities,121696,IT EQUIPMENT MAINTENANCE AND SUPPORT SERVICES TO THE CENTER FOR INFORMATION DOMINANCE AND CID LEARNING SITE (CID)(LS),CID)(LS,NAVY,NAVAL SUPPLY SYSTEMS COMMAND,N0018915RZ019,TBD,"The Department of the Navy, Naval Supply Systems Command, NAVSUP Fleet Logistics Center Norfolk, has a requirement for IT Equipment Maintenance and Support Services for the Center for Information Dominance (CID) at Corry Station, Pensacola, Florida and CID Learning Site (LS) Groton, Connecticut.",,541513 - Computer Facilities Management Services,,03/2015,(Deltek Estimate),07/01/2015,
227,Awarded,Tracked Opportunities,120851,SYSTEMS ENGINEERING AND TECHNICAL SERVICES FOR IDENTITY CREDENTIAL AND ACCESS MANAGEMENT (ICAM),ICAM,HOMELAND SECURITY,US CITIZENSHIP AND IMMIGRATION SERVICES,F2014025256,"4,324","Sevatec is fulfilling the Department of Homeland Security, US Citizenship and Immigration Services requirement for Identity, Credential, and Access Management (ICAM) systems engineering, and other professional services.",6028,541513 - Computer Facilities Management Services,,06/2015,(Deltek Estimate),08/21/2015,
228,Awarded,Tracked Opportunities,126454,TECHNICAL ORDER DISTRIBUTE AND PRINT GATEWAY SYSTEM MAINTENANCE AND SUPPORT,,DEFENSE,DEFENSE LOGISTICS AGENCY,060815,"1,073","CACI, Inc. is fulfilling the Department of Defense (DoD), Defense Logistics Agency's (DLA), requirement for Technical Order Distribute and Print Gateway system maintenance and support.",1073,541513 - Computer Facilities Management Services,,08/2015,(Deltek Estimate),09/30/2015,
229,Deleted/Canceled,Tracked Opportunities,104559,COUNTERMEASURES AND PERFORMANCE EVALUATIONS (CAPE),CAPE,US POSTAL SERVICE,INSPECTOR GENERAL,6HQOIG15A0013,TBD,"The United States Postal Service, Office of the Inspector General, has a requirement for Countermeasures and Performance Evaluations (CAPE).",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,12/2015,(Deltek Estimate),,
230,Awarded,Tracked Opportunities,120670,MASTER DATA REPOSITORY TECHNOLOGY AND IMPLEMENTATION SUPPORT (MDR),MDR,DEFENSE,WASHINGTON HEADQUARTERS SERVICE,RFQ961456,,"A vendor is currently fulfilling the Department of Defense (DoD), Washington Headquarters Service (WHS) requirement for Master Data Repository Technology and Implementation Support.",,541513 - Computer Facilities Management Services,,06/2015,(Deltek Estimate),09/2015,
231,Awarded,Tracked Opportunities,67782,NATIONAL SERVICE DESK AND DESKSIDE SUPPORT SERVICES,,TRANSPORTATION,FEDERAL AVIATION ADMINISTRATION,,"51,757","CNI is currently fulfilling the Federal Aviation Administration (FAA), Aviation Safety (AVS) continuing requirement for an initiative to implement an enterprise-wide centralized Information Technology (IT) service desk capable of handling and managing all end-user requests with their IT computing needs.",0,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,06/2015,(Deltek Estimate),09/2015,
232,Awarded,Tracked Opportunities,91502,DATA MANAGEMENT SERVICES FOR CANCER DIAGNOSIS PROGRAM ACTIVITIES (CDP),CDP,HEALTH AND HUMAN SERVICES,NATIONAL INSTITUTES OF HEALTH,,,"Information Management Systems is currently fulfilling the Department of Health and Human Services, National Institutes of Health (NIH), National Cancer Institute (NCI), Division of Cancer Treatment Diagnosis's (DCTD) requirement for data management services in support of the Cancer Diagnosis Program (CDP).",0,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,05/2015,(Deltek Estimate),07/28/2015,
233,Awarded,Tracked Opportunities,124986,ENTERPRISE ARCHITECTURE SUPPORT FOR THE IP GATEWAY AND THE OFFICE OF INFRASTRUCTURE PROTECTION,,HOMELAND SECURITY,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY,F2015025599,735,"Technical and Management Resources, Inc. is fulfilling the Department of Homeland Security (DHS), National Protection and Programs Directorate (NPPD) requirement for Enterprise Architecture support for the IP Gateway and the Office of Infrastructure Protection.",735,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,06/2015,(Deltek Estimate),08/14/2015,
234,Expired/Archived,Tracked Opportunities,108241,EXPLOSIVES SAFETY SITING FIELD SUPPORT (ESSFS),ESSFS,NAVY,NAVAL FACILITIES ENGINEERING SYSTEMS COMMAND,,"3,000","The Department of the Navy, Naval Facilities Engineering Command may have a continuing requirement for Explosives Safety Siting (ESS) Field Support.","0, 0, 0, 0",541513 - Computer Facilities Management Services,,,(Deltek Estimate),,
235,Awarded,Tracked Opportunities,125261,TINKER AIR FORCE BASE NETWORK SUPPORT SERVICES (AFB),AFB,AIR FORCE,AIR FORCE MATERIEL COMMAND,FA810115R0008,"11,847","CNI Global Solutions, LLC (Parent Company: Chickasaw Nation Industries, Inc.) is fulfilling the Department of the Air Force, Air Force Materiel Command (AFMC), Air Force Sustainment Center (AFSC), 72nd Air Base Wing (72 ABW), 72nd Communications Directorate requirement for network support services at Tinker AFB.",13993,541513 - Computer Facilities Management Services,,08/2015,(Deltek Estimate),09/25/2015,
236,Awarded,Tracked Opportunities,122375,LEGACY ARCHIVE TAPE MANAGEMENT SERVICES,,AGRICULTURE,FOREST SERVICE,AG7604S150014,342,"Recall is currently fulfilling the Department of Agriculture, Forest Service requirement for Legacy Archive Tape Management Services.",0,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,06/2015,(Deltek Estimate),09/2015,
237,Awarded,Tracked Opportunities,122629,DATA CENTER INFORMATION MANAGEMENT SOLUTION (DCIM),DCIM,INTERIOR,US GEOLOGICAL SURVEY,G15PS00203,289,"Alamo City Engineering Services, Inc. is currently fulfilling the Department of the Interior, US Geological Survey's requirement for Data Center Information Management (DCIM) solution for the U.S. Geological Survey.",289,541513 - Computer Facilities Management Services,,04/2015,(Deltek Estimate),08/13/2015,05/18/2015
238,Awarded,Tracked Opportunities,122914,OFFSITE DATA STORAGE FOR MICHAEL E DEBAKEY VA MEDICAL CENTER (MEDVAMC),MEDVAMC,VETERANS AFFAIRS,VETERANS HEALTH ADMINISTRATION,VA25615Q0421,66,"The Department of the Veterans Affairs, Veteran Health Administration, VHA Medical Centers has a requirement for full off-site data storage service provider for Michael E. DeBakey VA Medical Center (MEDVAMC).",66,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,04/2015,(Deltek Estimate),06/30/2015,
239,Awarded,Tracked Opportunities,126292,WEBSITE HOSTING AND DATA COLLECTION SERVICES,,VETERANS AFFAIRS,VETERANS HEALTH ADMINISTRATION,VA24615Q0900,47,"The Department of Veterans Affairs, Veterans Health Administration has a requirement for a contractor to provide Website Hosting and Data Collection Services for Durham VA Medical Center.",47,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,06/2015,(Deltek Estimate),06/30/2015,
240,Awarded,Tracked Opportunities,106473,COMPUTER SUPPORT SERVICES,,AIR FORCE,AIR FORCE MATERIEL COMMAND,FA810114Q0115,"6,266","CNI Global Solutions, LLC is fulfilling, on a Sole Source basis, the Department of the Air Force, Air Force Materiel Command (AFMC), Air Force Sustainment Center (AFSC), 72nd Air Base Wing (72 ABW), 72nd Communications Directorate requirement for computer support services.",6459,541513 - Computer Facilities Management Services,,08/2014,(Deltek Estimate),09/25/2014,
241,Awarded,Tracked Opportunities,111129,BIG DATA FROM NOAA,,COMMERCE,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,ST133014RP0039,,"Amazon Web Services, Google Cloud Platform, IBM, Microsoft, and Open Cloud Consortium (managed by the Center for Computational Science Research) have been selected by the U.S. Department of Commerce (DOC), National Oceanic and Atmospheric Administration (NOAA), Office of the Chief Information Officer (OCIO) to fulfill the agency's Big Data solution in order to explore ways of bringing the Department closer to its goal of unleashing its vast resources of environmental data and delivering on one of the Department’s key priorities – transforming Department data capabilities and supporting a data-driven economy.","0, 0, 0, 0, 0","518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,03/2015,(Deltek Estimate),04/21/2015,
242,Awarded,Tracked Opportunities,92309,AFECMO MICROSOFT PREMIER SERVICES,,AIR FORCE,AIR FORCE MATERIEL COMMAND,,"35,908","Microsoft Corporation is fulfilling the Department of the Air Force, Air Force Materiel Command (AFMC), Air Force Life Cycle Management Center (AFLCMC), PEO Business and Enterprise Systems, Operations Division, Enterprise Services Support Branch (AFLCMC/HIZN) requirement for Air Force Enterprise Configuration Management Office (AFECMO) Microsoft Premier Services.",35908,541513 - Computer Facilities Management Services,,05/2013,(Deltek Estimate),06/28/2013,
243,Awarded,Tracked Opportunities,112361,NATIONAL AIRSPACE LABORATORY SUPPORT SERVICES (NAS),NAS,TRANSPORTATION,FEDERAL AVIATION ADMINISTRATION,16050,250,"The Department of Transportation, Federal Aviation Administration (FAA), has a requirement for National Airspace (NAS) Laboratory Support Services.",250,541513 - Computer Facilities Management Services,,12/2014,(Deltek Estimate),02/20/2015,MULTIPLE
244,Awarded,Tracked Opportunities,114674,SEVP SEVIS HELP DESK TASK ORDER FOR TIER 1ESRC CALL COMMAND CENTER SUPPORT SERVICES,,HOMELAND SECURITY,IMMIGRATION AND CUSTOMS ENFORCEMENT,,"6,604","Insight Technology Solutions, Inc. is fulfilling the Department of Homeland Security, Bureau of Immigration and Customs Enforcement requirement for Tier 1 Help Desk support for the Student & Exchange Visitor Information System (SEVIS).",6604,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,04/2014,(Deltek Estimate),09/16/2014,05/23/2014
245,Awarded,Tracked Opportunities,115146,CIRCUIT ACTIONS DESIGN SUPPORT,,AIR FORCE,US SPACE FORCE,F3R7C04120A003,,"Deltek believes an incumbent, that was awarded via Direct Award, is fulfilling the Department of the Air Force, Air Force Space Commance, 14th Air Force, 50th Space Wing, 50th Network Operations Group, 50th Space Communications Squadron's requirement has a requirement for Circuit Actions Engineering Design Support.",913000,541513 - Computer Facilities Management Services,,08/2014,(Deltek Estimate),08/2014,
246,Deleted/Canceled,Tracked Opportunities,113360,RESEARCH AND IMAGING SERVICES,,HOUSING AND URBAN DEVELOPMENT,,2014H008,"2,599","Consummate Computer Consultants is fulfilling the requirement for the Department of Housing and Urban Development (HUD), Federal Housing Administration (FHA), Single Family Insurance Operations Division (SFIOD) for Research & Imaging Services.",2599,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,05/2014,(Deltek Estimate),06/30/2014,
247,Awarded,Tracked Opportunities,114813,UPGRADE AND CONFIGURE MULTI PLATFORM DATA PROCESSING AND STORAGE SYSTEMS,,HEALTH AND HUMAN SERVICES,NATIONAL INSTITUTES OF HEALTH,HHSNIHNIDASS14242,,"The Department of Health and Human Services, National Institutes of Health, National Institute on Drug Abuse, requirement to upgrade and configure multi-platform data processing and storage systems is currently being fulfilled.",,541513 - Computer Facilities Management Services,,06/2014,(Deltek Estimate),09/2014,
248,Awarded,Tracked Opportunities,102263,BUILDING DATA INFRASTRUCTURE IN THE SAFETY NET TO CONDUCT PATIENT CENTERED OUTCOMES RESEARCH (CHARN),CHARN,HEALTH AND HUMAN SERVICES,HEALTH RESOURCES AND SERVICES ADMINISTRATION,13250SOLCHARN,"1,959","Kaiser Foundation Hospitals is fulfilling the requirement for the Department of Health and Human Services (HHS), Health Resources and Services Administration (HRSA), to build Data Infrastructure in the Safety Net to Conduct Patient-Centered Outcomes Research.",1959,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,08/2013,(Deltek Estimate),04/01/2014,
249,Awarded,Tracked Opportunities,114597,SECRET INTERNET PROTOCOL ROUTER NETWORK UAM DATA ANALYSIS (SIPRNET),SIPRNET,ARMY,"ASA ACQUISITION, LOGISTICS AND TECHNOLOGY",W904TE14SUAM,"1,586","The Department of the Army, PEO Enterprise Information Systems, Technology Applications Office (TAO), has a requirement for Secret Internet Protocol Router Network (SIPRNet) UAM data analysis.",1586,541513 - Computer Facilities Management Services,,08/2014,(Deltek Estimate),09/17/2014,
250,Awarded,Tracked Opportunities,104910,USAF PKI SMART CARD INTERFACE DEVELOPMENT (SCID),SCID,AIR FORCE,AIR FORCE MATERIEL COMMAND,FA830714Q0043,81,"HP Enterprise Services is fulfilling the Department of the Air Force, Air Force Materiel Command, Air Force Life Cycle Management Center (AFLCMC), C3I Networks Directorate, Cryptologic Systems Division, Responsive Cyber Branch (AFLCMC/HNCY) requirement for USAF PKI Smart Card Interface development.",81,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,05/2014,(Deltek Estimate),06/13/2014,
251,Deleted/Canceled,Tracked Opportunities,105212,NETWORK MAPPING,,CONGRESS,LIBRARY OF CONGRESS,ITS20140047,,The Library of Congress no longer has a requirement for Commercial-Off-The-Shelf (COTS) network mapping solutions.,,541513 - Computer Facilities Management Services,,,(Deltek Estimate),,
252,Awarded,Tracked Opportunities,73507,GEMNET SYSTEMS SUPPORT II,,GENERAL SERVICES ADMINISTRATION,PUBLIC BUILDINGS SERVICE,TBD,"1,421",ENOVITY INC is currently fulfilling the General Services Administration Pacific Rim Region's requirement for support services for its existing GEMnet equipment and network.,1421,541513 - Computer Facilities Management Services,,11/2013,(Deltek Estimate),01/01/2014,
